uni_0,element_text
log_fof,Forestry and logging (113000)
non_ott,Nonstore retailers (454000)
pkg_mch,Packaging machinery manufacturing (333993)
sop_che,Soap and cleaning compound manufacturing (325610)
amd_amd,Accommodation (721000)
pag_che,Pesticide and other agricultural chemical manufacturing (325320)
mct_mch,Machine tool manufacturing (333517)
spr_art,Spectator sports (711200)
sdp_che,Synthetic dye and pigment manufacturing (325130)
mch_fmt,Machine shops (332710)
leg_leg,Legal services (541100)
pbm_ppd,Paperboard mills (322130)
mch_wht,"Machinery, equipment, and supplies (423800)"
dwe_adm,Services to buildings and dwellings (561700)
ele_uti,"Electric power generation, transmission, and distribution (221100)"
app_alt,Apparel manufacturing (315000)
adv_tsv,"Advertising, public relations, and related services (541800)"
dir_ins,Direct life insurance carriers (524113)
ele_wht,Wholesale electronic markets and agents and brokers (425000)
oti_mch,Other industrial machinery manufacturing (33329A)
dry_osv,Dry-cleaning and laundry services (812300)
mus_art,"Museums, historical sites, zoos, and parks (712000)"
omh_eec,Other major household appliance manufacturing (335228)
gmt_gmt,General merchandise stores (452000)
oth_slg,State and local government (other services) (GSLGO)
oss_adm,Other support services (561900)
des_tsv,Specialized design services (541400)
fom_pla,Polystyrene foam product manufacturing (326140)
cut_fmt,Cutlery and handtool manufacturing (332200)
ipv_cep,Industrial process variable instruments manufacturing (334513)
mlk_fbp,Fluid milk and butter manufacturing (31151A)
res_nrs,"Residential mental health, substance abuse, and other residential care facilities (623B00)"
ppp_pla,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing (326120)"
odg_wht,Other durable goods merchant wholesalers (423A00)
bok_pub,Book publishers (511130)
lea_alt,Leather and allied product manufacturing (316000)
ifs_soc,Individual and family services (624100)
pav_pet,Asphalt paving mixture and block manufacturing (324121)
pcs_osv,Personal care services (812100)
tea_fbp,Coffee and tea manufacturing (311920)
pri_che,Printing ink manufacturing (325910)
mrs_con,Multifamily residential structures (233412)
wtl_brd,Wired telecommunications carriers (517110)
brd_cep,Broadcast and wireless communications equipment (334220)
ltr_mot,Light truck and utility vehicle manufacturing (336112)
min_mch,Mining and oil and gas field machinery manufacturing (333130)
sta_ppd,Stationery product manufacturing (322230)
sys_com,Computer systems design services (541512)
stl_pmt,Steel product manufacturing from purchased steel                     (331200)
mmo_cep,Manufacturing and reproducing magnetic and optical media (334610)
fin_fin,"Funds, trusts, and other financial vehicles (525000)"
mtt_fmt,Metal tank (heavy gauge) manufacturing (332420)
fab_fmt,Fabricated pipe and pipe fitting manufacturing (332996)
veg_agr,Vegetable and melon farming (111200)
mis_ote,Guided missile and space vehicle manufacturing (336414)
trn_sle,State and local government passenger transit (S00201)
wol_nmp,Mineral wool manufacturing (327993)
cas_rec,Gambling industries (except casino hotels) (713200)
lam_pla,"Laminated plastics plate, sheet (except packaging), and shape manufacturing (326130)"
chs_fbp,Cheese manufacturing (311513)
agt_art,Promoters of performing arts and sports and agents for public figures (711A00)
trk_trk,Truck transportation (484000)
fyt_tex,"Fiber, yarn, and thread mills (313100)"
oph_mmf,Ophthalmic goods manufacturing (339115)
toi_che,Toilet preparation manufacturing (325620)
dpr_dat,"Data processing, hosting, and related services (518200)"
oth_smn,Other support activities for mining (21311A)
pwr_con,Power and communication structures (233240)
pet_wht,Petroleum and petroleum products (424700)
plp_ppd,Pulp mills (322110)
cus_com,Custom computer programming services (541511)
hrf_eec,Household refrigerator and home freezer manufacturing (335222)
sem_cep,Semiconductor and related device manufacturing (334413)
new_dat,"News syndicates, libraries, archives and all other information services (5191A0)"
sec_use,Used and secondhand goods (S00402)
env_tsv,Environmental and other technical consulting services (5416A0)
inv_adm,Investigation and security services (561600)
ceh_fmt,"Coating, engraving, heat treating and allied activities (332800)"
pmr_che,Plastics material and resin manufacturing (325211)
mal_pub,"Directory, mailing list, and other publishers (5111A0)"
otp_tex,Other textile product mills (314900)
och_che,All other chemical product and preparation manufacturing (3259A0)
oth_agr,Other crop farming (111900)
pwr_fmt,Power boiler and heat exchanger manufacturing (332410)
ofg_fen,Other federal government enterprises (S00102)
ber_fbp,Breweries (312120)
plt_fmt,Plate work and fabricated structural product manufacturing (332310)
mes_otr,Couriers and messengers (492000)
fac_adm,Facilities support services (561200)
sat_brd,"Satellite, telecommunications resellers, and all other telecommunications (517A00)"
orb_pla,Other rubber product manufacturing (326290)
ogp_mch,Other general purpose machinery manufacturing (33399A)
oth_ott,All other retail (4B0000)
wls_brd,Wireless telecommunications carriers (except satellite) (517210)
gas_mot,Motor vehicle gasoline engine and engine parts manufacturing (336310)
can_fbp,"Fruit and vegetable canning, pickling, and drying (311420)"
sbt_eec,Storage battery manufacturing (335911)
irr_cep,Irradiation apparatus manufacturing (334517)
aut_rnt,Automotive equipment rental and leasing (532100)
clo_ott,Clothing and clothing accessories stores (448000)
nmr_con,Nonresidential maintenance and repair (230301)
cop_pmt,"Copper rolling, drawing, extruding and alloying (331420)"
trv_adm,Travel arrangement and reservation services (561500)
pnt_che,Paint and coating manufacturing (325510)
asp_fbp,"Animal (except poultry) slaughtering, rendering, and processing (31161A)"
aec_cep,Automatic environmental control manufacturing (334512)
bio_che,Biological product (except diagnostic) manufacturing (325414)
ent_sle,Other state and local government enterprises (S00203)
rug_tex,Carpet and rug mills (314110)
ocs_com,"Other computer related services, including facilities management (54151A)"
ice_fbp,Ice cream and frozen dessert manufacturing (311520)
cam_mot,Travel trailer and camper manufacturing (336214)
sug_fbp,Sugar and confectionery product manufacturing (311300)
cbl_brd,Cable and other subscription programming (515200)
oar_ote,Other aircraft parts and auxiliary equipment manufacturing (336413)
mnm_nmp,Miscellaneous nonmetallic mineral products (327999)
led_min,"Copper, nickel, lead, and zinc mining (212230)"
lim_res,Limited-service restaurants (722211)
tbn_mch,Turbine and turbine generator set units manufacturing (333611)
pdl_pub,Periodical publishers (511120)
cmg_rnt,General and consumer goods rental (532A00)
saf_fof,Support activities for agriculture and forestry (115000)
amn_fmt,"Ammunition, arms, ordnance, and accessories manufacturing (33299A)"
own_hou,Owner-occupied housing (531HSO)
hca_eec,Household cooking appliance manufacturing (335221)
opm_pla,Other plastics product manufacturing (326190)
ors_con,Other residential structures (2334A0)
trn_trn,Rail transportation (482000)
hea_ott,Health and personal care stores (446000)
oes_edu,Other educational services (611B00)
els_cep,Electricity and signal testing instruments manufacturing (334515)
irn_pmt,Iron and steel mills and ferroalloy manufacturing (331110)
ure_pla,Urethane and other foam product (except polystyrene) manufacturing (326150)
rrd_ote,Railroad rolling stock manufacturing (336500)
srf_che,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing (3252A0)
mch_mch,Mechanical power transmission equipment manufacturing (333613)
civ_osv,"Civic, social, professional, and similar organizations (813B00)"
ifm_fpd,Institutional furniture manufacturing (337127)
dry_agr,Dairy cattle and milk production (112120)
pop_fbp,Soft drink and ice manufacturing (312110)
cpb_nmp,"Concrete pipe, brick, and block manufacturing (327330)"
shp_ote,Ship building and repairing (336611)
pce_wht,Professional and commercial equipment and supplies (423400)
fbt_fbt,Food and beverage stores (445000)
ofm_fbp,All other food manufacturing (311990)
dut_wht,Customs duties (4200ID)
smi_mmf,Surgical and medical instrument manufacturing (339112)
prc_cep,Printed circuit assembly (electronic assembly) manufacturing (334418)
man_man,Management of companies and enterprises (550000)
uni_edu,"Junior colleges, colleges, universities, and professional schools (611A00)"
arc_tsv,"Architectural, engineering, and related services (541300)"
sci_tsv,Scientific research and development services (541700)
phy_amb,Offices of physicians (621100)
cmf_soc,"Community food, housing, and other relief services, including vocational rehabilitation services (624A00)"
fss_fmt,"All other forging, stamping, and sintering (33211A)"
agc_mch,Air and gas compressor manufacturing (333912)
sea_fbp,Seafood product preparation and packaging (311700)
cre_bnk,Nondepository credit intermediation and related activities (522A00)
oce_cep,Other communications equipment manufacturing (334290)
tpw_mot,Motor vehicle transmission and power train parts manufacturing (336350)
nff_pmt,Nonferrous metal foundries (331520)
ppb_ppd,Paper bag and coated and treated paper manufacturing (322220)
bot_pla,Plastics bottle manufacturing (326160)
rmr_con,Residential maintenance and repair (230302)
ocp_nmp,Other concrete product manufacturing (327390)
oec_cep,Other electronic component manufacturing (33441A)
rad_brd,Radio and television broadcasting (515100)
prv_osv,Private households (814000)
rbr_pla,Rubber and plastics hoses and belting manufacturing (326220)
trl_mot,Truck trailer manufacturing (336212)
rol_fmt,Custom roll forming (332114)
bsp_adm,Business support services (561400)
air_air,Air transportation (481000)
ali_cep,Analytical laboratory instrument manufacturing (334516)
mon_bnk,Monetary authorities and depository credit intermediation (52A000)
oil_agr,Oilseed farming (1111A0)
drl_smn,Drilling oil and gas wells (213111)
gas_uti,Natural gas distribution (221200)
ofd_res,All other food and drinking places (722A00)
hea_mch,Heating equipment (except warm air furnaces) manufacturing (333414)
atr_osv,Automotive repair and maintenance (including car washes) (811100)
pst_fen,Postal service (491000)
dnt_amb,Offices of dentists (621200)
pbc_ppd,Paperboard container manufacturing (322210)
aud_cep,Audio and video equipment manufacturing (334300)
hom_mot,Motor home manufacturing (336213)
brd_fbp,Bread and bakery product manufacturing (311810)
tfl_cep,Totalizing fluid meter and counting device manufacturing (334514)
com_rnt,Commercial and industrial machinery and equipment rental and leasing (532400)
plb_fmt,Plumbing fixture fitting and trim manufacturing (332913)
plm_pla,Plastics packaging materials and unlaminated film and sheet manufacturing (326110)
imp_oth,Noncomparable imports (S00300)
aen_ote,Aircraft engine and engine parts manufacturing (336412)
ota_agr,"Animal production, except cattle and poultry and eggs (112A00)"
soy_fbp,Soybean and other oilseed processing (311224)
why_fbp,Distilleries (312140)
pwr_eec,"Power, distribution, and specialty transformer manufacturing (335311)"
pwr_mch,Power-driven handtool manufacturing (333991)
sdn_cep,"Search, detection, and navigation instruments manufacturing (334511)"
dog_fbp,Dog and cat food manufacturing (311111)
wst_wst,Waste management and remediation services (562000)
sme_pmt,Secondary smelting and alloying of aluminum (331314)
cut_nmp,Cut stone and stone product manufacturing (327991)
grn_agr,Grain farming (1111B0)
wrh_wrh,Warehousing and storage (493000)
bui_ott,Building material and garden equipment and supplies dealers (444000)
int_dat,Internet publishing and broadcasting and Web search portals (519130)
int_rnt,Lessors of nonfinancial intangible assets (533000)
air_ote,Aircraft manufacturing (336411)
bot_ote,Boat building (336612)
oil_oil,Oil and gas extraction (211000)
con_mch,Construction machinery manufacturing (333120)
otm_ote,All other transportation equipment manufacturing (336999)
agn_ins,"Insurance agencies, brokerages, and related activities (524200)"
stm_mot,Motor vehicle metal stamping (336370)
inv_che,In-vitro diagnostic substance manufacturing (325413)
fld_mch,Fluid power process machinery (33399B)
shv_fpd,"Showcase, partition, shelving, and locker manufacturing (337215)"
atm_mot,Automobile manufacturing (336111)
ncc_nrs,Nursing and community care facilities (623A00)
mil_wpd,Millwork (321910)
air_mch,Industrial and commercial fan and blower and air purification equipment manufacturing (333413)
sap_pri,Support activities for printing (323120)
cly_nmp,Clay product and refractory manufacturing (327100)
obi_che,Other basic inorganic chemical manufacturing (325180)
ipf_mch,Industrial process furnace and oven manufacturing (333994)
flr_fbp,Flour milling and malt manufacturing (311210)
fat_fbp,Fats and oils refining and blending (311225)
elb_eec,Electric lamp bulb and part manufacturing (335110)
cmt_nmp,Cement manufacturing (327310)
sec_edu,Elementary and secondary schools (611100)
hos_hos,Hospitals (622000)
ven_wpd,"Veneer, plywood, and engineered wood product manufacturing (321200)"
dry_fbp,"Dry, condensed, and evaporated dairy product manufacturing (311514)"
off_fpd,Office furniture and custom architectural woodwork and millwork manufacturing (33721A)
oee_mch,Other engine equipment manufacturing (333618)
com_sec,Securities and commodity contracts intermediation and brokerage (523A00)
oas_amb,Other ambulatory health care services (621900)
cok_fbp,"Cookie, cracker, pasta, and tortilla manufacturing (3118A0)"
eqr_osv,Electronic and precision equipment repair and maintenance (811200)
mtg_eec,Motor and generator manufacturing (335312)
mlt_ote,"Military armored vehicle, tank, and tank component manufacturing (336992)"
hea_slg,State and local government (hospitals and health services) (GSLGH)
mbm_che,Medicinal and botanical manufacturing (325411)
gro_wht,Grocery and related product wholesalers (424400)
nfm_pmt,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying (331490)"
eea_cep,Electromedical and electrotherapeutic apparatus manufacturing (334510)
wcm_cep,"Watch, clock, and other measuring and controlling device manufacturing (33451A)"
trm_mot,Motor vehicle seating and interior trim manufacturing (336360)
lwn_mch,Lawn and garden equipment manufacturing (333112)
hdw_fmt,Hardware manufacturing (332500)
ofp_fpd,Other furniture related product manufacturing (337900)
bef_agr,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming (1121A0)"
chk_fbp,Poultry processing (311615)
brk_mot,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing (3363A0)"
wne_fbp,Wineries (312130)
egg_agr,Poultry and egg production (112300)
amu_rec,Amusement parks and arcades (713100)
edu_slg,State and local government (educational services) (GSLGE)
ohn_fpd,Other household nonupholstered furniture (33712N)
bbr_fmt,Ball and roller bearing manufacturing (332991)
spc_fbp,Seasoning and dressing manufacturing (311940)
edu_con,Educational and vocational structures (233262)
htr_mot,Heavy duty truck manufacturing (336120)
opp_ppd,All other converted paper product manufacturing (322299)
ofi_sec,Other financial investment activities (523900)
ops_osv,Other personal services (812900)
eee_mot,Motor vehicle electrical and electronic equipment manufacturing (336320)
cab_fpd,Wood kitchen cabinet and countertop manufacturing (337110)
acn_mch,"Air conditioning, refrigeration, and warm air heating equipment manufacturing (333415)"
cme_eec,Communication and energy wire and cable manufacturing (335920)
alu_pmt,Aluminum product manufacturing from purchased aluminum (33131B)
mvt_mvt,Motor vehicle and parts dealers (441000)
ind_art,"Independent artists, writers, and performers (711500)"
jwl_mmf,Jewelry and silverware manufacturing (339910)
ori_rec,Other amusement and recreation industries (713900)
ore_ore,Other real estate (531ORE)
ric_eec,Relay and industrial control manufacturing (335314)
cig_fbp,Tobacco manufacturing (312200)
wtt_wtt,Water transportation (483000)
day_soc,Child day care services (624400)
spr_fmt,Spring and wire product manufacturing (332600)
hom_amb,Home health care services (621600)
pbt_eec,Primary battery manufacturing (335912)
hle_eec,Household laundry equipment manufacturing (335224)
fmf_pmt,Ferrous metal foundries (331510)
fmf_che,Fertilizer manufacturing (325310)
ohp_amb,Offices of other health practitioners (621300)
pri_pri,Printing (323110)
rnt_hou,Tenant-occupied housing (531HST)
out_amb,Outpatient care centers (621400)
orn_fmt,Ornamental and architectural metal products manufacturing (332320)
opt_mch,Optical instrument and lens manufacturing (333314)
brk_fbp,Breakfast cereal manufacturing (311230)
pht_mch,Photographic and photocopying equipment manufacturing (333316)
fdd_fdd,Federal general government (defense) (S00500)
toy_mmf,"Doll, toy, and game manufacturing (339930)"
crn_fmt,"Metal crown, closure, and other metal stamping (except automotive) (332119)"
oee_eec,All other miscellaneous electrical equipment and component manufacturing (335999)
lme_nmp,Lime and gypsum product manufacturing (327400)
acc_tsv,"Accounting, tax preparation, bookkeeping, and payroll services (541200)"
fnd_fnd,Federal general government (nondefense) (S00600)
rwa_oth,Rest of the world adjustment (S00900)
csd_cep,Computer storage device manufacturing (334112)
tel_cep,Telephone apparatus manufacturing (334210)
txf_tex,Textile and fabric finishing and fabric coating mills (313300)
ndg_wht,Other nondurable goods merchant wholesalers (424A00)
srp_use,Scrap (S00401)
spt_mch,"Special tool, die, jig, and fixture manufacturing (333514)"
ele_sle,State and local government electric utilities (S00202)
emp_adm,Employment services (561300)
snk_fbp,Snack food manufacturing (311910)
frm_mch,Farm machinery and equipment manufacturing (333111)
sas_mmf,Surgical appliance and supplies manufacturing (339113)
grd_grd,Transit and ground passenger transportation (485000)
oth_pet,Other petroleum and coal products manufacturing (324190)
pro_ote,Propulsion units and parts for space vehicles and guided missiles (33641A)
vet_tsv,Veterinary services (541940)
dnt_mmf,Dental equipment and supplies manufacturing (339114)
car_ins,"Insurance carriers, except direct life (5241XX)"
spd_mch,"Speed changer, industrial high-speed drive, and gear manufacturing (333612)"
nms_pmt,Nonferrous metal (except aluminum) smelting and refining (331410)
off_con,Office and commercial structures (2332A0)
stn_min,Stone mining and quarrying (212310)
sgn_mmf,Sign manufacturing (339950)
hcs_con,Health care structures (233210)
gla_nmp,Glass and glass product manufacturing (327200)
mfs_con,Manufacturing structures (233230)
toi_ppd,Sanitary paper product manufacturing (322291)
pht_tsv,Photographic services (541920)
ref_pet,Petroleum refineries (324110)
mgt_tsv,Management consulting services (541610)
mkt_tsv,"All other miscellaneous professional, scientific, and technical services (5419A0)"
ppm_ppd,Paper mills (322120)
sea_eec,Small electrical appliance manufacturing (335210)
oci_mch,Other commercial and service industry machinery manufacturing (333318)
ecm_cep,Electronic computer manufacturing (334111)
ala_pmt,Alumina refining and primary aluminum production (331313)
dlb_mmf,Dental laboratories (339116)
pip_pip,Pipeline transportation (486000)
ore_min,"Iron, gold, silver, and other metal ore mining (2122A0)"
oth_min,Other nonmetallic mineral mining and quarrying (2123A0)
adh_che,Adhesive manufacturing (325520)
mtv_wht,Motor vehicle and motor vehicle parts and supplies (423100)
fun_osv,Death care services (812200)
fml_tex,Fabric mills (313200)
hha_wht,Household appliances and electrical and electronic goods (423600)
ful_res,Full-service restaurants (722110)
srs_con,Single-family residential structures (233411)
wdv_eec,Wiring device manufacturing (335930)
ltf_eec,Lighting fixture manufacturing (335120)
tir_pla,Tire manufacturing (326210)
rel_osv,Religious organizations (813100)
pic_mov,Motion picture and video industries (512100)
phm_che,Pharmaceutical preparation manufacturing (325412)
cbn_eec,Carbon and graphite product manufacturing (335991)
wat_uti,"Water, sewage and other systems (221300)"
fzn_fbp,Frozen food manufacturing (311410)
igm_che,Industrial gas manufacturing (325120)
grt_osv,"Grantmaking, giving, and social advocacy organizations (813A00)"
new_pub,Newspaper publishers (511110)
sce_otr,Scenic and sightseeing transportation and support activities (48A000)
cnc_nmp,Ready-mix concrete manufacturing (327320)
lin_tex,Curtain and linen mills (314120)
tmn_nmp,Ground or treated mineral and earth manufacturing (327992)
lab_amb,Medical and diagnostic laboratories (621500)
uph_fpd,Upholstered household furniture manufacturing (337121)
tps_fmt,"Turned product and screw, nut, and bolt manufacturing (332720)"
ptr_che,Petrochemical manufacturing (325110)
flo_agr,"Greenhouse, nursery, and floriculture production (111400)"
mtc_fmt,"Metal can, box, and other metal container (light gauge) manufacturing (332430)"
ele_fen,Federal electric utilities (S00101)
ath_mmf,Sporting and athletic goods manufacturing (339920)
ofm_mmf,Office supplies (except paper) manufacturing (339940)
smc_mch,Semiconductor machinery manufacturing (333242)
cut_mch,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing (33351B)"
syr_fbp,Flavoring syrup and concentrate manufacturing (311930)
off_adm,Office administrative services (561100)
vlv_fmt,Valve and fittings other than plumbing (33291A)
mat_mch,Material handling equipment manufacturing (333920)
saw_wpd,Sawmills and wood preservation (321100)
ctm_cep,Computer terminals and other computer peripheral equipment manufacturing (334118)
snd_mov,Sound recording industries (512200)
imr_osv,Commercial and industrial machinery and equipment repair and maintenance (811300)
wet_fbp,Wet corn milling (311221)
omm_mmf,All other miscellaneous manufacturing (339990)
shn_pet,Asphalt shingle and coating materials manufacturing (324122)
oaf_fbp,Other animal food manufacturing (311119)
nup_fpd,Nonupholstered wood household furniture manufacturing (337122)
pfm_art,Performing arts companies (711100)
omv_mot,Other motor vehicle parts manufacturing (336390)
ons_con,Other nonresidential structures (2332D0)
obo_che,Other basic organic chemical manufacturing (325190)
dru_wht,Drugs and druggists' sundries (424200)
hgr_osv,Personal and household goods repair and maintenance (811400)
omf_fmt,Other fabricated metal manufacturing (332999)
gas_ott,Gasoline stations (447000)
mbd_mot,Motor vehicle body manufacturing (336211)
ppe_mch,Pump and pumping equipment manufacturing (33391A)
imm_mch,Industrial mold manufacturing (333511)
trn_con,Transportation structures and highways and streets (2332C0)
fht_fof,"Fishing, hunting and trapping (114000)"
sfw_pub,Software publishers (511200)
mcl_ote,"Motorcycle, bicycle, and parts manufacturing (336991)"
owp_wpd,All other wood product manufacturing (3219A0)
swt_eec,Switchgear and switchboard apparatus manufacturing (335313)
col_min,Coal mining (212100)
nut_agr,Fruit and tree nut farming (111300)
abr_nmp,Abrasive product manufacturing (327910)
