yr,m,i,value
2008,trn,ppd,12.272577772308502
2009,trn,ppd,9.602496345885982
2005,trn,ppd,9.423831413186685
2006,trn,ppd,10.123942712140375
2012,trn,ppd,12.399974257128967
2014,trn,ppd,13.04760421325875
2013,trn,ppd,12.78131813375518
1999,trn,ppd,6.192902969464669
2002,trn,ppd,8.268722210909496
2017,trn,ppd,12.27905429865401
2016,trn,ppd,11.0808990558392
2015,trn,ppd,11.355158732416156
1998,trn,ppd,6.209706808043615
2004,trn,ppd,8.83786099740627
2000,trn,ppd,4.099364460998569
1997,trn,ppd,6.935311106020097
2007,trn,ppd,11.218119107942377
2010,trn,ppd,10.760691496895348
2003,trn,ppd,8.627565207183874
2011,trn,ppd,12.07983296274243
2001,trn,ppd,8.678646589916841
2008,trd,ppd,34.903781125672126
2009,trd,ppd,34.00556095080194
2005,trd,ppd,31.13335728587928
2006,trd,ppd,32.24198436312276
2012,trd,ppd,39.87366492993971
2014,trd,ppd,42.49755110881155
2013,trd,ppd,41.64590490936943
1999,trd,ppd,24.380339342633278
2002,trd,ppd,27.637776381485235
2017,trd,ppd,45.32435562378297
2016,trd,ppd,43.83021097042142
2015,trd,ppd,43.63973939033523
1998,trd,ppd,22.873380016437544
2004,trd,ppd,29.29566111480476
2000,trd,ppd,26.091319678939374
1997,trd,ppd,22.1181545416505
2007,trd,ppd,34.774781329452
2010,trd,ppd,36.71427056511151
2003,trd,ppd,27.717752755022943
2011,trd,ppd,38.690809944232015
2001,trd,ppd,26.04071815920684
2008,trn,res,-9.974935060845233e-9
2009,trn,res,-9.974935746425311e-9
2005,trn,res,-9.974934802002248e-9
2006,trn,res,-9.974934848004402e-9
2012,trn,res,-9.990907399445417e-9
2014,trn,res,-9.990907511650452e-9
2013,trn,res,-9.990907561760306e-9
1999,trn,res,-9.974934491982278e-9
2002,trn,res,-9.990906746312107e-9
2017,trn,res,-9.990907450130596e-9
2016,trn,res,-9.974936454588816e-9
2015,trn,res,-9.974936459082695e-9
1998,trn,res,-9.974935276126374e-9
2004,trn,res,-9.97493449908427e-9
2000,trn,res,-9.99090696239519e-9
1997,trn,res,-9.974936504100948e-9
2007,trn,res,-9.974934616265604e-9
2010,trn,res,-9.974935044058143e-9
2003,trn,res,-9.990906837076095e-9
2011,trn,res,-9.974935028661356e-9
2001,trn,res,-9.990906910082198e-9
2008,trd,res,-9.97493950921412e-9
2009,trd,res,-9.97494006747065e-9
2005,trd,res,-9.974939308641834e-9
2006,trd,res,-9.974939259484484e-9
2012,trd,res,-9.990908496738247e-9
2014,trd,res,-9.99090848475277e-9
2013,trd,res,-9.990908493076527e-9
1999,trd,res,-9.974938864890523e-9
2002,trd,res,-9.990908412514436e-9
2017,trd,res,-9.990908412884813e-9
2016,trd,res,-9.974939159020295e-9
2015,trd,res,-9.974939173153232e-9
1998,trd,res,-9.974938898209745e-9
2004,trd,res,-9.974939177909745e-9
2000,trd,res,-9.990908404404401e-9
1997,trd,res,-9.97493882552817e-9
2007,trd,res,-9.974939139161368e-9
2010,trd,res,-9.97493929026642e-9
2003,trd,res,-9.990908435834064e-9
2011,trd,res,-9.974939285137578e-9
2001,trd,res,-9.99090856305554e-9
2008,trn,com,-9.97493515203073e-9
2009,trn,com,-9.974935666049835e-9
2005,trn,com,-9.974934724006867e-9
2006,trn,com,-9.974934768934765e-9
2012,trn,com,-9.990907381785228e-9
2014,trn,com,-9.990907494286497e-9
2013,trn,com,-9.990907543066545e-9
1999,trn,com,-9.974934696591183e-9
2002,trn,com,-9.990906712326321e-9
2017,trn,com,-9.990907438434287e-9
2016,trn,com,-9.974936409134811e-9
2015,trn,com,-9.974936418226481e-9
1998,trn,com,-9.974935225338323e-9
2004,trn,com,-9.974934410326262e-9
2000,trn,com,-9.990907511528765e-9
1997,trn,com,-9.974936446018843e-9
2007,trn,com,-9.97493456987942e-9
2010,trn,com,-9.974934979781637e-9
2003,trn,com,-9.990906807639223e-9
2011,trn,com,-9.974935007333614e-9
2001,trn,com,-9.990906996200803e-9
2008,trd,com,-9.974939600367254e-9
2009,trd,com,-9.974939987122886e-9
2005,trd,com,-9.974939230674498e-9
2006,trd,com,-9.974939180442678e-9
2012,trd,com,-9.99090847908232e-9
2014,trd,com,-9.990908467392533e-9
2013,trd,com,-9.990908474386594e-9
1999,trd,com,-9.974939069428042e-9
2002,trd,com,-9.990908378541104e-9
2017,trd,com,-9.99090840119098e-9
2016,trd,com,-9.974939113576097e-9
2015,trd,com,-9.974939132305865e-9
1998,trd,com,-9.974938847436373e-9
2004,trd,com,-9.974939089184869e-9
2000,trd,com,-9.990908953363827e-9
1997,trd,com,-9.974938767456826e-9
2007,trd,com,-9.97493909279192e-9
2010,trd,com,-9.974939226011689e-9
2003,trd,com,-9.990908406407542e-9
2011,trd,com,-9.974939263817079e-9
2001,trd,com,-9.990908649142839e-9
2008,trn,amb,-9.97493505661733e-9
2009,trn,amb,-9.974935871168118e-9
2005,trn,amb,-9.974934890276327e-9
2006,trn,amb,-9.974934930765152e-9
2012,trn,amb,-9.990907430398173e-9
2014,trn,amb,-9.990907539578819e-9
2013,trn,amb,-9.990907588850047e-9
1999,trn,amb,-9.974934565931196e-9
2002,trn,amb,-9.990906764025278e-9
2017,trn,amb,-9.990907479992366e-9
2016,trn,amb,-9.974936526455186e-9
2015,trn,amb,-9.974936524079388e-9
1998,trn,amb,-9.974935350405947e-9
2004,trn,amb,-9.974934590602056e-9
2000,trn,amb,-9.990906976298486e-9
1997,trn,amb,-9.974936577319354e-9
2007,trn,amb,-9.97493467714072e-9
2010,trn,amb,-9.9749351286359e-9
2003,trn,amb,-9.990906867924432e-9
2011,trn,amb,-9.974935095719058e-9
2001,trn,amb,-9.990906938650461e-9
2008,trd,amb,-9.974939504987718e-9
2009,trd,amb,-9.974940192170448e-9
2005,trd,amb,-9.974939396884173e-9
2006,trd,amb,-9.974939342216106e-9
2012,trd,amb,-9.990908527683532e-9
2014,trd,amb,-9.99090851267516e-9
2013,trd,amb,-9.990908520160718e-9
1999,trd,amb,-9.97493893881364e-9
2002,trd,amb,-9.990908430221117e-9
2017,trd,amb,-9.990908442740259e-9
2016,trd,amb,-9.974939230871157e-9
2015,trd,amb,-9.974939238135847e-9
1998,trd,amb,-9.974938972467853e-9
2004,trd,amb,-9.974939269393368e-9
2000,trd,amb,-9.990908418303287e-9
1997,trd,amb,-9.974938898733014e-9
2007,trd,amb,-9.974939200014517e-9
2010,trd,amb,-9.974939374815524e-9
2003,trd,amb,-9.990908466671555e-9
2011,trd,amb,-9.974939352172508e-9
2001,trd,amb,-9.990908591613418e-9
2008,trn,fbp,24.445169928453957
2009,trn,fbp,21.555310241432867
2005,trn,fbp,16.285066725745132
2006,trn,fbp,20.364208131470107
2012,trn,fbp,26.420749172101136
2014,trn,fbp,28.95314055302325
2013,trn,fbp,26.927674603250175
1999,trn,fbp,12.015605432254794
2002,trn,fbp,15.58514846304145
2017,trn,fbp,26.597172301576506
2016,trn,fbp,25.847878974495398
2015,trn,fbp,25.690577929437076
1998,trn,fbp,11.111896322542432
2004,trn,fbp,14.414142133263537
2000,trn,fbp,12.461430727643961
1997,trn,fbp,10.482115687956828
2007,trn,fbp,22.843520893426593
2010,trn,fbp,23.46108573154561
2003,trn,fbp,15.54223996153009
2011,trn,fbp,25.614462960744472
2001,trn,fbp,13.781563177550545
2008,trd,fbp,326.44568809682846
2009,trd,fbp,320.4337616492772
2005,trd,fbp,283.7703441428108
2006,trd,fbp,298.59516916097465
2012,trd,fbp,380.29992492745714
2014,trd,fbp,407.43274338671296
2013,trd,fbp,395.8705646080749
1999,trd,fbp,214.70544229747176
2002,trd,fbp,243.56661530051238
2017,trd,fbp,456.2924257896116
2016,trd,fbp,431.9825415129763
2015,trd,fbp,427.4493173553404
1998,trd,fbp,202.5117947888943
2004,trd,fbp,270.4636111711789
2000,trd,fbp,223.5555247871197
1997,trd,fbp,198.85321353984227
2007,trd,fbp,316.6925807510423
2010,trd,fbp,343.81442470259225
2003,trd,fbp,262.9035971125044
2011,trd,fbp,357.6672355571216
2001,trd,fbp,233.5910282060426
2008,trn,rec,-9.974935029790715e-9
2009,trn,rec,-9.974935721148328e-9
2005,trn,rec,-9.974934793465492e-9
2006,trn,rec,-9.974934858869877e-9
2012,trn,rec,-9.990907375147096e-9
2014,trn,rec,-9.990907484406713e-9
2013,trn,rec,-9.990907531538044e-9
1999,trn,rec,-9.974934487313957e-9
2002,trn,rec,-9.990906739543965e-9
2017,trn,rec,-9.990907426653677e-9
2016,trn,rec,-9.97493637861735e-9
2015,trn,rec,-9.974936395901741e-9
1998,trn,rec,-9.974935285877576e-9
2004,trn,rec,-9.974934517149417e-9
2000,trn,rec,-9.990906958541263e-9
1997,trn,rec,-9.974936474310724e-9
2007,trn,rec,-9.974934604983992e-9
2010,trn,rec,-9.974935019767856e-9
2003,trn,rec,-9.990906836331323e-9
2011,trn,rec,-9.97493496278212e-9
2001,trn,rec,-9.990906917021461e-9
2008,trd,rec,-9.974939478170621e-9
2009,trd,rec,-9.974940042202382e-9
2005,trd,rec,-9.974939300108148e-9
2006,trd,rec,-9.974939270346136e-9
2012,trd,rec,-9.99090847244579e-9
2014,trd,rec,-9.990908457514863e-9
2013,trd,rec,-9.990908462860456e-9
1999,trd,rec,-9.97493886022383e-9
2002,trd,rec,-9.990908405748773e-9
2017,trd,rec,-9.990908389412865e-9
2016,trd,rec,-9.974939083065221e-9
2015,trd,rec,-9.974939109985961e-9
1998,trd,rec,-9.97493890795813e-9
2004,trd,rec,-9.974939195968148e-9
2000,trd,rec,-9.990908400551695e-9
1997,trd,rec,-9.974938795743466e-9
2007,trd,rec,-9.974939127883825e-9
2010,trd,rec,-9.974939265984362e-9
2003,trd,rec,-9.990908435089553e-9
2011,trd,rec,-9.974939219280715e-9
2001,trd,rec,-9.990908569992282e-9
2008,trn,con,-9.974935009149136e-9
2009,trn,con,-9.974935676814147e-9
2005,trn,con,-9.974934860048398e-9
2006,trn,con,-9.974934906194804e-9
2012,trn,con,-9.990907406733945e-9
2014,trn,con,-9.990907516171657e-9
2013,trn,con,-9.990907566513343e-9
1999,trn,con,-9.974934449691557e-9
2002,trn,con,-9.99090674928759e-9
2017,trn,con,-9.990907457689378e-9
2016,trn,con,-9.974936469473852e-9
2015,trn,con,-9.974936475843525e-9
1998,trn,con,-9.974935225407356e-9
2004,trn,con,-9.97493455680198e-9
2000,trn,con,-9.990906943058965e-9
1997,trn,con,-9.97493643838311e-9
2007,trn,con,-9.974934660646365e-9
2010,trn,con,-9.974935073055633e-9
2003,trn,con,-9.990906853512878e-9
2011,trn,con,-9.974935044089043e-9
2001,trn,con,-9.990906903616095e-9
2008,trd,con,-9.97493945753637e-9
2009,trd,con,-9.974939997883485e-9
2005,trd,con,-9.974939366667115e-9
2006,trd,con,-9.974939317654405e-9
2012,trd,con,-9.990908504025015e-9
2014,trd,con,-9.990908489273008e-9
2013,trd,con,-9.99090849782859e-9
1999,trd,con,-9.974938822614556e-9
2002,trd,con,-9.990908415488828e-9
2017,trd,con,-9.990908420441993e-9
2016,trd,con,-9.974939173902118e-9
2015,trd,con,-9.97493918991043e-9
1998,trd,con,-9.974938847505385e-9
2004,trd,con,-9.97493923560591e-9
2000,trd,con,-9.990908385074309e-9
1997,trd,con,-9.974938759822506e-9
2007,trd,con,-9.974939183526113e-9
2010,trd,con,-9.974939319254085e-9
2003,trd,con,-9.990908452265067e-9
2011,trd,con,-9.974939300560027e-9
2001,trd,con,-9.990908556591787e-9
2008,trn,agr,40.67978184349723
2009,trn,agr,39.84633428432183
2005,trn,agr,32.82712916980814
2006,trn,agr,35.05441692083976
2012,trn,agr,50.212023780854096
2014,trn,agr,50.58599320656658
2013,trn,agr,48.953218723773034
1999,trn,agr,21.53582931477452
2002,trn,agr,17.835628180285198
2017,trn,agr,59.049809287171925
2016,trn,agr,61.00985717927998
2015,trn,agr,58.69870241432444
1998,trn,agr,21.82603952017987
2004,trn,agr,28.604421540779033
2000,trn,agr,21.92022106594624
1997,trn,agr,21.620837868146108
2007,trn,agr,36.05060684397674
2010,trn,agr,41.561093017458944
2003,trn,agr,21.81541500854133
2011,trn,agr,44.42364468713597
2001,trn,agr,20.238740805762234
2008,trd,agr,63.40347839677348
2009,trd,agr,59.26996387827996
2005,trd,agr,52.77183651076335
2006,trd,agr,57.01727424002939
2012,trd,agr,74.6627147236689
2014,trd,agr,84.9232654398509
2013,trd,agr,81.58393229503348
1999,trd,agr,41.64791991801027
2002,trd,agr,47.164037328857106
2017,trd,agr,90.28703791304287
2016,trd,agr,85.42929631807993
2015,trd,agr,85.18184599947361
1998,trd,agr,38.32673497498003
2004,trd,agr,51.402216635175705
2000,trd,agr,43.918845376998846
1997,trd,agr,38.06704377094598
2007,trd,agr,62.3339026835475
2010,trd,agr,67.61055665486332
2003,trd,agr,49.563957712251714
2011,trd,agr,73.1660739426095
2001,trd,agr,45.37433105236055
2008,trn,eec,7.362993910260948
2009,trn,eec,5.2953815059070015
2005,trn,eec,6.590329736912914
2006,trn,eec,7.0869035549313715
2012,trn,eec,6.930027861156178
2014,trn,eec,8.324058538143499
2013,trn,eec,7.43036224516888
1999,trn,eec,4.357195475518801
2002,trn,eec,4.372068033645474
2017,trn,eec,7.98840442634226
2016,trn,eec,7.37592953575404
2015,trn,eec,7.469119357998947
1998,trn,eec,3.8944626188317124
2004,trn,eec,5.575899062002933
2000,trn,eec,5.655185506522135
1997,trn,eec,3.5089237299022473
2007,trn,eec,6.70187233367774
2010,trn,eec,5.106511776257895
2003,trn,eec,4.467606970985314
2011,trn,eec,6.016628032606952
2001,trn,eec,4.199267885384138
2008,trd,eec,65.25213988018736
2009,trd,eec,57.20450012624168
2005,trd,eec,58.67196418344354
2006,trd,eec,65.35520943486358
2012,trd,eec,79.98374066115166
2014,trd,eec,92.4212506484334
2013,trd,eec,86.38911805453672
1999,trd,eec,41.615926154935735
2002,trd,eec,45.142943372016596
2017,trd,eec,105.51890655609215
2016,trd,eec,99.61550074462669
2015,trd,eec,96.64387601476838
1998,trd,eec,37.60967540837665
2004,trd,eec,55.263533296566415
2000,trd,eec,45.752643512808135
1997,trd,eec,35.28317855687932
2007,trd,eec,67.57741856970561
2010,trd,eec,67.67278904099723
2003,trd,eec,48.06970149374676
2011,trd,eec,72.87539648105344
2001,trd,eec,42.385396067794495
2008,trn,fnd,-9.974934970500335e-9
2009,trn,fnd,-9.974935794759084e-9
2005,trn,fnd,-9.974934775763576e-9
2006,trn,fnd,-9.974934827319521e-9
2012,trn,fnd,-9.990907417708936e-9
2014,trn,fnd,-9.990907530923914e-9
2013,trn,fnd,-9.990907577319767e-9
1999,trn,fnd,-9.974934362900039e-9
2002,trn,fnd,-9.990906689749302e-9
2017,trn,fnd,-9.990907466778427e-9
2016,trn,fnd,-9.97493650954197e-9
2015,trn,fnd,-9.974936514707155e-9
1998,trn,fnd,-9.974935141015086e-9
2004,trn,fnd,-9.974934448565685e-9
2000,trn,fnd,-9.990906904046508e-9
1997,trn,fnd,-9.974936373625314e-9
2007,trn,fnd,-9.97493455489209e-9
2010,trn,fnd,-9.974935038844169e-9
2003,trn,fnd,-9.99090681557322e-9
2011,trn,fnd,-9.974935029245605e-9
2001,trn,fnd,-9.990906868247784e-9
2008,trd,fnd,-9.974939418901286e-9
2009,trd,fnd,-9.97494011578776e-9
2005,trd,fnd,-9.974939282412597e-9
2006,trd,fnd,-9.974939238806884e-9
2012,trd,fnd,-9.990908514997359e-9
2014,trd,fnd,-9.990908504022107e-9
2013,trd,fnd,-9.9909085086328e-9
1999,trd,fnd,-9.974938735853317e-9
2002,trd,fnd,-9.990908355972358e-9
2017,trd,fnd,-9.990908429529118e-9
2016,trd,fnd,-9.974939213961588e-9
2015,trd,fnd,-9.974939228765645e-9
1998,trd,fnd,-9.974938763137505e-9
2004,trd,fnd,-9.974939127410018e-9
2000,trd,fnd,-9.990908346074224e-9
1997,trd,fnd,-9.974938695076706e-9
2007,trd,fnd,-9.97493907781e-9
2010,trd,fnd,-9.974939285054213e-9
2003,trd,fnd,-9.99090841433875e-9
2011,trd,fnd,-9.97493928572163e-9
2001,trd,fnd,-9.990908521236334e-9
2008,trn,pub,5.047054922605156
2009,trn,pub,3.901806475727797
2005,trn,pub,4.17946228996639
2006,trn,pub,4.389827204053453
2012,trn,pub,4.334913923227006
2014,trn,pub,4.432801094791893
2013,trn,pub,4.230654222555029
1999,trn,pub,3.0332265406378722
2002,trn,pub,3.5823281595798897
2017,trn,pub,4.420374587743106
2016,trn,pub,3.8893983037112467
2015,trn,pub,3.795316044324553
1998,trn,pub,2.7511097309391626
2004,trn,pub,3.89301971759983
2000,trn,pub,3.53407638146127
1997,trn,pub,2.621632864329029
2007,trn,pub,4.743602897675335
2010,trn,pub,3.7269698521291237
2003,trn,pub,3.7218840039937535
2011,trn,pub,3.9028081811856548
2001,trn,pub,3.4920172241791345
2008,trd,pub,54.19397817410602
2009,trd,pub,52.44545104044461
2005,trd,pub,45.52844809756994
2006,trd,pub,46.534992477414164
2012,trd,pub,70.07551867795479
2014,trd,pub,80.77354417171568
2013,trd,pub,76.80756424252446
1999,trd,pub,32.341720825036916
2002,trd,pub,35.11000130184985
2017,trd,pub,93.35636806710271
2016,trd,pub,89.52821499083664
2015,trd,pub,85.098998669408
1998,trd,pub,30.018633660481655
2004,trd,pub,41.69798650856321
2000,trd,pub,34.533678041505375
1997,trd,pub,27.405874132701523
2007,trd,pub,49.37639933012025
2010,trd,pub,62.21069267916024
2003,trd,pub,37.89384914950426
2011,trd,pub,69.51128188100031
2001,trd,pub,32.99441760743376
2008,trn,hou,-9.97493501643702e-9
2009,trn,hou,-9.974935888117537e-9
2005,trn,hou,-9.974934860370014e-9
2006,trn,hou,-9.97493490784338e-9
2012,trn,hou,-9.990907420988992e-9
2014,trn,hou,-9.99090752987505e-9
2013,trn,hou,-9.990907578634499e-9
1999,trn,hou,-9.974934522283783e-9
2002,trn,hou,-9.99090675113304e-9
2017,trn,hou,-9.990907470220034e-9
2016,trn,hou,-9.9749364997404e-9
2015,trn,hou,-9.974936494715081e-9
1998,trn,hou,-9.974935319044329e-9
2004,trn,hou,-9.974934564780731e-9
2000,trn,hou,-9.99090695654918e-9
1997,trn,hou,-9.974936547215758e-9
2007,trn,hou,-9.974934643190497e-9
2010,trn,hou,-9.974935103107454e-9
2003,trn,hou,-9.990906857460025e-9
2011,trn,hou,-9.974935063769392e-9
2001,trn,hou,-9.990906924117807e-9
2008,trd,hou,-9.974939464821665e-9
2009,trd,hou,-9.974940209114026e-9
2005,trd,hou,-9.974939366988614e-9
2006,trd,hou,-9.974939319302402e-9
2012,trd,hou,-9.990908518276622e-9
2014,trd,hou,-9.990908502973468e-9
2013,trd,hou,-9.990908509947261e-9
1999,trd,hou,-9.974938895181455e-9
2002,trd,hou,-9.990908417333602e-9
2017,trd,hou,-9.990908432969995e-9
2016,trd,hou,-9.974939204162135e-9
2015,trd,hou,-9.9749392087779e-9
1998,trd,hou,-9.974938941115297e-9
2004,trd,hou,-9.974939243581682e-9
2000,trd,hou,-9.990908398560245e-9
1997,trd,hou,-9.974938868634996e-9
2007,trd,hou,-9.974939166076543e-9
2010,trd,hou,-9.974939349295725e-9
2003,trd,hou,-9.990908456210826e-9
2011,trd,hou,-9.974939320233694e-9
2001,trd,hou,-9.990908577086047e-9
2008,trn,fbt,0.0
2009,trn,fbt,0.0
2005,trn,fbt,0.0
2006,trn,fbt,0.0
2012,trn,fbt,0.0
2014,trn,fbt,0.0
2013,trn,fbt,0.0
1999,trn,fbt,0.0
2002,trn,fbt,0.0
2017,trn,fbt,0.0
2016,trn,fbt,0.0
2015,trn,fbt,0.0
1998,trn,fbt,0.0
2004,trn,fbt,0.0
2000,trn,fbt,0.0
1997,trn,fbt,0.0
2007,trn,fbt,0.0
2010,trn,fbt,0.0
2003,trn,fbt,0.0
2011,trn,fbt,0.0
2001,trn,fbt,0.0
2008,trd,fbt,0.0
2009,trd,fbt,0.0
2005,trd,fbt,0.0
2006,trd,fbt,0.0
2012,trd,fbt,0.0
2014,trd,fbt,0.0
2013,trd,fbt,0.0
1999,trd,fbt,0.0
2002,trd,fbt,0.0
2017,trd,fbt,0.0
2016,trd,fbt,0.0
2015,trd,fbt,0.0
1998,trd,fbt,0.0
2004,trd,fbt,0.0
2000,trd,fbt,0.0
1997,trd,fbt,0.0
2007,trd,fbt,0.0
2010,trd,fbt,0.0
2003,trd,fbt,0.0
2011,trd,fbt,0.0
2001,trd,fbt,0.0
2008,trn,ins,-9.974935234188353e-9
2009,trn,ins,-9.974935727873284e-9
2005,trn,ins,-9.974934777824144e-9
2006,trn,ins,-9.974934818169968e-9
2012,trn,ins,-9.990907390976485e-9
2014,trn,ins,-9.990907496773068e-9
2013,trn,ins,-9.990907553473496e-9
1999,trn,ins,-9.97493446492453e-9
2002,trn,ins,-9.990906725212437e-9
2017,trn,ins,-9.990907435056664e-9
2016,trn,ins,-9.974936409398017e-9
2015,trn,ins,-9.974936420249042e-9
1998,trn,ins,-9.974935258567813e-9
2004,trn,ins,-9.974934468418495e-9
2000,trn,ins,-9.990906949350181e-9
1997,trn,ins,-9.974936486269721e-9
2007,trn,ins,-9.974934629566387e-9
2010,trn,ins,-9.9749349985466e-9
2003,trn,ins,-9.990906827430194e-9
2011,trn,ins,-9.974935058747303e-9
2001,trn,ins,-9.990906899155824e-9
2008,trd,ins,-9.974939682495717e-9
2009,trd,ins,-9.97494004892502e-9
2005,trd,ins,-9.974939284472424e-9
2006,trd,ins,-9.974939229660552e-9
2012,trd,ins,-9.99090848827136e-9
2014,trd,ins,-9.990908469878571e-9
2013,trd,ins,-9.990908484791413e-9
1999,trd,ins,-9.974938837842215e-9
2002,trd,ins,-9.990908391422498e-9
2017,trd,ins,-9.990908397814072e-9
2016,trd,ins,-9.974939113839247e-9
2015,trd,ins,-9.97493913432799e-9
1998,trd,ins,-9.974938880656258e-9
2004,trd,ins,-9.974939147255416e-9
2000,trd,ins,-9.990908391363529e-9
1997,trd,ins,-9.974938807700248e-9
2007,trd,ins,-9.974939152457351e-9
2010,trd,ins,-9.974939244770296e-9
2003,trd,ins,-9.990908426191555e-9
2011,trd,ins,-9.974939315213308e-9
2001,trd,ins,-9.990908552133138e-9
2008,trn,tex,3.9722148649792333
2009,trn,tex,2.91679418955263
2005,trn,tex,3.7337303373716844
2006,trn,tex,3.654857220411312
2012,trn,tex,4.1808021284625605
2014,trn,tex,4.556006448250462
2013,trn,tex,4.262861693926206
1999,trn,tex,2.5738545962851345
2002,trn,tex,3.3460885147417163
2017,trn,tex,4.355544638425444
2016,trn,tex,3.8360779821332094
2015,trn,tex,3.8915956135957424
1998,trn,tex,2.638091328335062
2004,trn,tex,3.542510131503658
2000,trn,tex,1.6125750868998387
1997,trn,tex,3.0774734913141204
2007,trn,tex,3.8036153629892167
2010,trn,tex,3.414873304904036
2003,trn,tex,3.484512141423601
